jenkinsci/config-driven-pipeline-plugin	23	14
jenkinsci/code-coverage-api-plugin	115	752
jenkinsci/configuration-as-code-plugin	2790	218
jenkinsci/docker	7572	11882
jenkinsci/dingtalk-plugin	365	232
jenkinsci/docker-plugin	500	297
jenkinsci/docker-agents	339	7356
jenkinsci/docker-inbound-agent	480	4705
jenkinsci/docker-workflow-plugin	526	301
jenkinsci/github-branch-source-plugin	215	300
jenkinsci/gitea-plugin	237	232
jenkinsci/groovy-sandbox	135	124
jenkinsci/hashicorp-vault-plugin	222	99
jenkinsci/badge-plugin	39	391
jenkinsci/github-pr-comment-build-plugin	25	398
jenkinsci/http-request-plugin	173	391
jenkinsci/hubot-steps-plugin	59	484
jenkinsci/hashicorp-vault-pipeline-plugin	26	14
jenkinsci/credentials-plugin	132	156
jenkinsci/jenkins	25617	10833
jenkinsci/jacoco-plugin	147	351
jenkinsci/jenkinsfile-runner	1203	2524
jenkinsci/declarative-pipeline-migration-assistant-plugin	13	221
jenkinsci/jenkins-test-harness	116	458
jenkinsci/dependency-track-plugin	53	139
jenkinsci/jira-steps-plugin	106	208
jenkinsci/gitlab-branch-source-plugin	134	178
jenkinsci/jira-plugin	174	484
jenkinsci/jira-trigger-plugin	114	124
jenkinsci/jenkinsfile-runner-test-framework	12	1535
jenkinsci/job-dsl-plugin	1924	128
jenkinsci/labelled-steps-plugin	10	14
jenkinsci/pipeline-aws-plugin	429	232
jenkinsci/performance-plugin	194	665
jenkinsci/nested-data-reporting-plugin	9	363
jenkinsci/pipeline-github-lib-plugin	10	300
jenkinsci/opentelemetry-plugin	124	300
jenkinsci/pipeline-githubnotify-step-plugin	31	14
jenkinsci/pipeline-gitstatuswrapper-plugin	8	14
jenkinsci/pipeline-cloudwatch-logs-plugin	19	448
jenkinsci/pipeline-as-yaml-plugin	150	484
jenkinsci/JenkinsPipelineUnit	1586	130
jenkinsci/pipeline-utility-steps-plugin	260	128
jenkinsci/pipeline-model-definition-plugin	566	389
jenkinsci/pipeline-stage-view-plugin	233	165
jenkinsci/plot-plugin	62	391
jenkinsci/plugin-installation-manager-tool	459	527
jenkinsci/pipeline-maven-plugin	67	291
jenkinsci/remoting	260	405
jenkinsci/remote-file-plugin	57	484
jenkinsci/qy-wechat-notification-plugin	165	14
jenkinsci/multiple-scms-plugin	46	135
jenkinsci/simple-build-for-pipeline-plugin	63	233
jenkinsci/subversion-plugin	131	484
jenkinsci/ssh-steps-plugin	306	245
jenkinsci/swarm-plugin	136	124
jenkinsci/stashnotifier-plugin	165	168
jenkinsci/tekton-client-plugin	44	555
jenkinsci/workflow-basic-steps-plugin	72	335
jenkinsci/workflow-job-plugin	41	133
jenkinsci/webhook-step-plugin	38	204
jenkinsci/workflow-multibranch-plugin	87	167
jenkins-infra/jenkins.io	429	3884
jenkinsci/pipeline-graph-view-plugin	159	317
jenkins-infra/update-center2	139	397
jenkinsci/role-strategy-plugin	144	155
jenkins-infra/pipeline-library	311	407
jenkins-zh/jenkins-cli	425	2032
jerearista/python-jenkinsfile-testing	34	5252
jenkinsci/warnings-ng-plugin	349	412
jjasghar/jenkinsfile_cookbook_pipeline	36	2916
Jotschi/maven-release-workflow-test	27	2449
juvalen/mb-checker	12	1468
jussaragranja/SeleniumEasyTest2	15	692
k11h-de/zap-jenkins	4	8593
kenych/jenkins_config_as_code	28	658
kesselborn/jenkinsfile	12	1433
kitconcept/jenkins-pipeline-examples	210	1343
kishorebhatia/pipeline-as-code-demo	76	955
krasi-georgiev/cd-demo	72	3179
ksuther/jenkins-jenkinsfile-include	42	262
liatrio/pipeline-library	22	543
linuxacademy/cicd-pipeline-train-schedule-canary	24	1617
linuxacademy/cicd-pipeline-train-schedule-dockerdeploy	32	280
judexzhu/Jenkins-Pipeline-CI-CD-with-Helm-on-Kubernetes	57	8578
linuxacademy/cicd-pipeline-train-schedule-cd	45	280
linuxacademy/cicd-pipeline-train-schedule-kubernetes	31	1465
llknur/jenkinsfile-pipeline-project	5	360
maajor/Blender-Geometry-CI	8	1199
macg33zr/pipelineUnit	147	2976
linuxacademy/cicd-pipeline-train-schedule-autodeploy	34	2340
maxyermayank/jenkins-pipeline-demo-api	9	9954
mercedes-benz/pipeliner	19	1697
ljpengelen/jenkinsfile	5	2716
metersphere/jenkins-plugin	223	2342
microsoft/movie-db-java-on-azure	34	1663
merken/netCoreBuild	8	4425
mindstix-labs/qa-automation-accelerator	8	4085
mjah/kubernetes-jenkins-cicd-pipeline-example	35	5037
maxyermayank/jenkins-pipeline-demo-pwa	4	8622
mmelmesary/Automated-DevOps-Project	6	2819
mraible/ng-demo	185	503
murphysecurity/murphysec-jenkins-tools	6	3030
msfidelis/jenkins-ecs-slaves	17	1830
mjuuso/provisioning_example	24	636
narasimhavuppala/jenkins-calculator	4	1709
narottamgla/selenium-bdd-cucumber	17	1202
nikoly/selenium-grid-docker	24	1381
netcorebcn/quiz	124	1332
ocf/ocfweb	46	128
ocf/ocflib	15	145
MrRameshRajendran/Hybrid_MultiCloud_Overlay	138	25734
ocf/slackbridge	12	87
ORCID/ORCID-Source	583	2782
ocf/ircbot	9	128
planetpratik/CMake-Jenkins-CPP	12	4402
pawnu/PythonSecurityPipeline	91	4722
Primus19/jenkins-pipeline-deploy-to-eks	33	949
prashantgohel321/DevOps-Project-Two-Tier-Flask-App	220	652
pavankjadda/BookStore	14	5482
qiuhuanhen/springboot-DDD	10	4714
Rapter1990/springbootmicroservicedailybuffer	70	1196
releaseworks/hellonode	54	1033
ricardozanini/soccer-stats	84	4101
restalion/python-jenkins-pipeline	19	6338
RitheeshBaradwaj/JenkinsPipeline	21	2952
rmkanda/secure-pipeline-java-demo	33	4192
Romeh/spring-boot-ignite	48	4735
roryeckel/codex-jenkinsfile	7	19507
rosineygp/mkdkr	382	2180
saidsef/alpine-jenkins-dockerfile	8	1021
Romeh/spring-boot-sample-app	100	13976
saidsef/jenkins-pipeline-examples	4	2069
shazforiot/Jenkins-integration-with-kubernetes	44	884
shipping-docker/simple-jerkins	4	514
sidd-harth/apigee-cicd	41	3972
sixeyed/jenkins-pipeline-demos	25	360
stakater/GitWebhookProxy	191	310
Statemood/jenkins-library	55	131
SumitM01/CI-CD-for-Docker-Kubernetes-using-Jenkins	11	3561
SumitKr88/multiscanpipeline-jenkins-fastlane-ios	9	14021
SumanReddy568/Selenium-Python-Pytest-framework	9	979
Terradue/DotNet4One	6	1149
Terradue/DotNetOpenSearchClient	4	8694
TechPrimers/jenkins-example	86	608
tknerr/jenkins-pipes-helloworld	10	468
tomasbjerre/bitbucket-server-jenkins-release-tags	9	2106
TomCzHen/jenkins-android-sample	16	3825
TTFHW/jenkins_pipeline_shell_scripts	7	259
TTFHW/jenkins_pipeline_java_maven	11	554
Tynab/crm-project	23	4052
VAD37/unity-jenkinsfile	11	12774
varunpalekar/php-ci-cd	11	6463
vinsguru/docker-selenium-jenkinsfile	11	713
wanghaoxi3000/advproject	8	1982
vskurikhin/DayBook3	7	5942
wildec2/java-selenium-framework	5	903
vineet68sharma/CI-CD-Docker	26	1967
zhangjian-ai/AutomationTestPlat	5	2293
zowe/jenkins-library	53	7753
yashpimple/Jenkins-CI-CD-with-GitHub-Integration	34	512
